VBELN,POSNR,MATNR,KWMENG,NETPR,NETWR
44,20,PRTR1000,12,1414.55,16974.58
45,10,DXTR1000,17,1389.87,23627.84
45,20,DXTR1000,11,648.34,7131.76
45,30,BOTL1000,5,1091.88,5459.4
46,10,EPAD1000,14,9458.62,132420.64
46,20,PUMP1000,8,14875.75,119006.01
47,10,PUMP1000,2,2067.92,4135.84
47,20,DXTR1000,9,105.89,952.97
47,30,PRTR1000,2,1645.67,3291.34
47,40,EPAD1000,15,319.71,4795.72
48,10,PUMP1000,13,826.32,10742.1
48,20,EPAD1000,23,1156.36,26596.2
48,30,ORMN1000,16,1676.25,26819.95
48,40,BOTL1000,5,3796.29,18981.47
49,10,PUMP1000,17,21.92,372.66
49,20,DXTR1000,2,14563.51,29127.03
49,30,PUMP1000,18,783.27,14098.89
49,40,EPAD1000,12,1776.14,21313.65
50,10,BOTL1000,21,2268.82,47645.14
50,20,EPAD1000,13,2922.31,37990.07
50,30,PUMP1000,25,559.15,13978.71
51,10,BOTL1000,7,1728.54,12099.8
51,20,PUMP1000,11,881.89,9700.83
52,10,DXTR1000,1,56250.0,56250.0
52,20,EPAD1000,1,1899.36,1899.36
53,10,EPAD1000,22,5228.78,115033.06
54,10,BOTL1000,1,9474.54,9474.54
54,20,DXTR1000,3,4077.65,12232.95
54,30,PUMP1000,20,416.87,8337.3
55,10,DXTR1000,23,245.2,5639.64
55,20,BOTL1000,3,1262.0,3786.0
56,10,BOTL1000,21,2059.68,43253.24
56,20,DXTR1000,6,14646.71,87880.25
57,10,PUMP1000,3,797.8,2393.41
57,20,ORMN1000,15,294.11,4411.61
58,10,DXTR1000,25,517.23,12930.67
58,20,DXTR1000,9,1385.6,12470.36
58,30,EPAD1000,13,1106.6,14385.81
58,40,DXTR1000,11,437.0,4807.04
59,10,PRTR1000,16,4584.76,73356.11
59,20,EPAD1000,20,1015.84,20316.73
59,30,PUMP1000,6,5636.71,33820.28
60,10,EPAD1000,4,1391.79,5567.17
60,20,ORMN1000,23,1206.86,27757.8
60,30,DXTR1000,4,5535.49,22141.95
60,40,DXTR1000,3,10507.67,31523.01
61,10,PUMP1000,21,442.72,9297.13
61,20,DXTR1000,1,224.46,224.46
61,30,EPAD1000,22,270.61,5953.38
62,10,BOTL1000,1,15612.76,15612.76
62,20,EPAD1000,23,1476.8,33966.46
62,30,EPAD1000,16,2518.74,40299.77
63,10,EPAD1000,1,5076.0,5076.0
63,20,EPAD1000,23,204.19,4696.46
63,30,BOTL1000,4,1180.8,4723.19
63,40,ORMN1000,18,180.46,3248.27
64,10,DXTR1000,21,2486.63,52219.2
64,20,BOTL1000,12,2556.8,30681.56
64,30,DXTR1000,11,4402.12,48423.35
65,10,PUMP1000,13,1326.72,17247.41
65,20,ORMN1000,7,939.48,6576.39
65,30,EPAD1000,23,200.3,4606.86
65,40,PUMP1000,4,3143.94,12575.74
66,10,PRTR1000,7,651.17,4558.16
66,20,PRTR1000,2,4146.88,8293.76
66,30,PUMP1000,1,4103.56,4103.56
67,10,PUMP1000,18,2736.26,49252.66
67,20,EPAD1000,10,634.17,6341.68
68,10,DXTR1000,24,1922.52,46140.58
68,20,DXTR1000,13,60.29,783.75
68,30,PUMP1000,7,2313.74,16196.18
68,40,BOTL1000,22,732.79,16121.4
69,10,DXTR1000,8,1335.13,10681.03
69,20,PUMP1000,2,4943.48,9886.96
69,30,EPAD1000,5,1219.25,6096.26
69,40,DXTR1000,21,400.93,8419.62
70,10,PRTR1000,1,32183.2,32183.2
70,20,DXTR1000,21,1044.64,21937.45
70,30,DXTR1000,10,860.94,8609.44
70,40,BOTL1000,15,1534.43,23016.44
71,10,DXTR1000,4,13325.77,53303.08
71,20,BOTL1000,16,255.07,4081.08
72,10,PUMP1000,11,538.18,5920.03
72,20,EPAD1000,22,864.03,19008.71
73,10,PRTR1000,11,789.26,8681.91
73,20,DXTR1000,25,1966.58,49164.49
73,30,PRTR1000,19,2064.84,39231.99
74,10,PUMP1000,6,357.12,2142.72
74,20,BOTL1000,12,773.57,9282.83
74,30,EPAD1000,6,4279.16,25674.99
75,10,PUMP1000,4,6383.98,25535.93
75,20,EPAD1000,20,56.14,1122.73
76,10,DXTR1000,1,1411.49,1411.49
76,20,DXTR1000,6,7329.26,43975.55
77,10,PRTR1000,23,210.07,4831.66
77,20,PRTR1000,7,1338.96,9372.73
77,30,ORMN1000,21,427.06,8968.19
78,10,PUMP1000,6,565.19,3391.16
78,20,BOTL1000,16,482.55,7720.8
78,30,PUMP1000,3,1674.98,5024.94
78,40,ORMN1000,10,30.96,309.64
79,10,BOTL1000,4,37.47,149.87
79,20,BOTL1000,12,643.97,7727.63
79,30,PRTR1000,17,226.68,3853.59
79,40,PUMP1000,15,1159.17,17387.53
80,10,PUMP1000,5,1220.98,6104.89
80,20,EPAD1000,16,267.39,4278.29
81,10,PUMP1000,2,558.81,1117.62
81,20,ORMN1000,12,537.89,6454.71
82,10,EPAD1000,25,5407.26,135181.6
82,20,DXTR1000,2,51982.32,103964.65
83,10,PRTR1000,6,7863.97,47183.84
84,10,DXTR1000,4,6869.72,27478.87
85,10,EPAD1000,11,767.94,8447.3
85,20,PUMP1000,7,991.47,6940.32
86,10,PUMP1000,8,4439.33,35514.63
86,20,PRTR1000,14,1214.36,17001.1
86,30,PRTR1000,13,2704.81,35162.48
87,10,DXTR1000,16,3374.62,53993.9
88,10,EPAD1000,5,208.31,1041.57
88,20,PRTR1000,24,277.83,6667.94
88,30,ORMN1000,21,155.7,3269.63
88,40,PRTR1000,9,309.27,2783.42
89,10,DXTR1000,5,13477.26,67386.31
89,20,EPAD1000,15,24445.07,366676.1
89,30,PRTR1000,14,2257.04,31598.57
90,10,BOTL1000,21,1018.09,21379.86
90,20,BOTL1000,6,4783.87,28703.24
90,30,PRTR1000,18,847.06,15247.0
91,10,EPAD1000,17,1749.78,29746.21
92,10,DXTR1000,9,2492.1,22428.9
92,20,EPAD1000,24,1322.22,31733.18
93,10,BOTL1000,8,8234.49,65875.95
93,20,BOTL1000,5,23085.49,115427.44
94,10,DXTR1000,2,27344.22,54688.44
95,10,DXTR1000,23,710.42,16339.71
95,20,EPAD1000,15,748.83,11232.47
95,30,DXTR1000,8,1185.41,9483.3
95,40,DXTR1000,18,488.02,8784.3
96,10,DXTR1000,3,44056.48,132169.45
96,20,PUMP1000,16,1154.06,18464.94
96,30,PRTR1000,10,4115.49,41154.92
96,40,EPAD1000,23,3917.81,90109.69
97,10,PRTR1000,15,3623.95,54359.25
98,10,PUMP1000,1,7737.15,7737.15
98,20,EPAD1000,3,12153.7,36461.1
98,30,ORMN1000,23,1140.11,26222.44
98,40,DXTR1000,17,1732.21,29447.53
99,10,BOTL1000,18,205.83,3704.97
99,20,PUMP1000,7,335.28,2346.93
99,30,BOTL1000,3,2743.39,8230.18
100,10,ORMN1000,22,1965.5,43240.95
100,20,DXTR1000,2,1610.65,3221.3
100,30,ORMN1000,13,4273.61,55556.96
101,10,BOTL1000,3,27349.4,82048.21
101,20,PRTR1000,23,2106.34,48445.87
101,30,ORMN1000,5,4645.32,23226.62
101,40,BOTL1000,8,9256.44,74051.49
102,10,BOTL1000,24,795.03,19080.68
103,10,ORMN1000,11,533.79,5871.66
103,20,BOTL1000,9,659.09,5931.79
104,10,DXTR1000,17,266.24,4526.01
104,20,PUMP1000,16,64.68,1034.87
104,30,PUMP1000,18,313.21,5637.83
104,40,ORMN1000,18,441.14,7940.48
105,10,PRTR1000,3,1742.16,5226.48
105,20,DXTR1000,15,448.85,6732.71
105,30,EPAD1000,3,2652.35,7957.04
105,40,ORMN1000,6,1134.59,6807.55
106,10,DXTR1000,9,7224.25,65018.29
107,10,PUMP1000,17,1716.02,29172.36
107,20,ORMN1000,1,51428.85,51428.85
108,10,PUMP1000,15,895.84,13437.59
108,20,DXTR1000,21,357.33,7503.89
108,30,PRTR1000,10,182.98,1829.8
108,40,DXTR1000,3,1601.67,4805.01
109,10,EPAD1000,11,441.0,4851.0
109,20,ORMN1000,19,158.89,3018.96
110,10,EPAD1000,18,1141.75,20551.42
110,20,ORMN1000,15,1876.56,28148.35
110,30,PRTR1000,19,1179.59,22412.23
111,10,DXTR1000,10,146.91,1469.14
111,20,ORMN1000,5,444.85,2224.25
111,30,EPAD1000,10,414.25,4142.49
112,10,ORMN1000,18,1530.96,27557.19
112,20,PRTR1000,6,1193.74,7162.47
113,10,BOTL1000,11,11814.88,129963.73
113,20,EPAD1000,5,18845.98,94229.88
114,10,ORMN1000,22,1255.06,27611.42
114,20,PRTR1000,12,1276.95,15323.39
114,30,EPAD1000,12,4401.42,52817.03
115,10,EPAD1000,1,25368.44,25368.44
115,20,PRTR1000,16,360.96,5775.42
116,10,ORMN1000,17,301.28,5121.83
116,20,PUMP1000,21,41.02,861.47
116,30,EPAD1000,10,535.56,5355.56
116,40,BOTL1000,10,301.49,3014.91
117,10,ORMN1000,15,12781.65,191724.8
117,20,DXTR1000,23,7595.32,174692.43
118,10,BOTL1000,13,2206.44,28683.67
118,20,EPAD1000,8,555.33,4442.66
118,30,DXTR1000,12,1463.01,17556.1
118,40,DXTR1000,11,892.45,9816.91
119,10,ORMN1000,25,6560.87,164021.69
119,20,DXTR1000,7,8921.7,62451.91
120,10,PUMP1000,15,3282.63,49239.44
121,10,PRTR1000,13,4497.14,58462.86
122,10,EPAD1000,12,97.4,1168.84
122,20,PUMP1000,5,445.14,2225.71
122,30,ORMN1000,14,247.87,3470.2
122,40,ORMN1000,13,257.05,3341.62
123,10,ORMN1000,12,912.64,10951.73
124,10,EPAD1000,14,337.14,4719.94
124,20,PRTR1000,10,47.29,472.9
124,30,EPAD1000,24,163.72,3929.33
124,40,EPAD1000,24,99.92,2398.13
125,10,PRTR1000,5,76562.97,382814.85
125,20,EPAD1000,10,27396.23,273962.31
126,10,DXTR1000,3,205.05,615.14
126,20,PUMP1000,14,638.05,8932.74
126,30,EPAD1000,9,781.66,7034.9
127,10,PRTR1000,25,645.96,16149.12
127,20,PRTR1000,7,2948.02,20636.16
128,10,ORMN1000,19,120.55,2290.52
128,20,BOTL1000,16,242.63,3882.01
128,30,EPAD1000,24,271.28,6510.81
128,40,DXTR1000,8,298.71,2389.67
129,10,PUMP1000,10,2316.76,23167.61
130,10,PUMP1000,23,332.99,7658.67
130,20,DXTR1000,8,5133.82,41070.55
130,30,ORMN1000,4,4435.84,17743.36
130,40,DXTR1000,16,691.43,11062.88
131,10,PUMP1000,21,873.09,18334.83
131,20,PUMP1000,16,1115.38,17846.02
131,30,ORMN1000,4,6849.9,27399.61
132,10,BOTL1000,6,11349.17,68095.02
133,10,PUMP1000,15,291.62,4374.29
134,10,EPAD1000,12,1359.04,16308.47
134,20,ORMN1000,21,114.93,2413.44
135,10,PUMP1000,17,2580.5,43868.45
136,10,PUMP1000,25,702.91,17572.85
137,10,BOTL1000,6,8273.45,49640.7
137,20,ORMN1000,11,3533.58,38869.37
138,10,BOTL1000,18,597.77,10759.93
138,20,PRTR1000,12,2305.47,27665.63
138,30,PRTR1000,1,14369.46,14369.46
139,10,DXTR1000,6,2064.85,12389.09
139,20,PRTR1000,7,2300.74,16105.17
139,30,PRTR1000,17,664.88,11302.97
140,10,BOTL1000,23,906.37,20846.56
140,20,PUMP1000,18,813.73,14647.14
141,10,DXTR1000,3,13142.3,39426.91
142,10,PUMP1000,10,4410.9,44109.01
142,20,PRTR1000,12,1908.78,22905.4
143,10,ORMN1000,23,903.9,20789.76
143,20,PUMP1000,1,13964.93,13964.93
143,30,PRTR1000,4,4460.6,17842.39
143,40,PUMP1000,5,1598.48,7992.38
144,10,PRTR1000,7,722.97,5060.76
144,20,EPAD1000,3,753.74,2261.21
145,10,EPAD1000,25,1360.3,34007.6
146,10,EPAD1000,2,1661.76,3323.52
146,20,ORMN1000,4,2107.0,8428.02
146,30,DXTR1000,2,30996.32,61992.64
146,40,PUMP1000,10,4013.84,40138.36
147,10,BOTL1000,4,8054.07,32216.27
148,10,ORMN1000,22,1391.41,30610.95
148,20,DXTR1000,1,10420.2,10420.2
149,10,ORMN1000,19,993.79,18882.09
149,20,PRTR1000,12,1752.06,21024.71
150,10,DXTR1000,19,1546.52,29383.94
150,20,PRTR1000,17,233.94,3976.98
151,10,BOTL1000,25,1663.56,41588.91
151,20,PUMP1000,1,7408.63,7408.63
152,10,PUMP1000,17,643.01,10931.18
153,10,ORMN1000,6,1608.16,9648.97
153,20,EPAD1000,13,1193.72,15518.39
153,30,BOTL1000,7,1653.77,11576.4
153,40,EPAD1000,8,3152.19,25217.49
154,10,DXTR1000,11,2467.24,27139.69
155,10,PUMP1000,18,141.23,2542.14
155,20,DXTR1000,2,1565.99,3131.98
155,30,EPAD1000,11,1596.9,17565.92
155,40,EPAD1000,4,4059.97,16239.9
156,10,PRTR1000,15,207.1,3106.48
156,20,EPAD1000,18,278.04,5004.77
156,30,EPAD1000,10,467.08,4670.79
157,10,PUMP1000,16,2029.98,32479.65
157,20,PRTR1000,12,2826.62,33919.48
158,10,PUMP1000,16,1792.86,28685.76
159,10,PUMP1000,17,742.31,12619.24
160,10,EPAD1000,13,7699.65,100095.47
161,10,DXTR1000,6,4331.91,25991.44
162,10,DXTR1000,13,4310.52,56036.73
162,20,EPAD1000,8,2432.28,19458.23
162,30,EPAD1000,24,1424.47,34187.25
163,10,PUMP1000,25,2879.33,71983.17
163,20,ORMN1000,13,5545.53,72091.89
163,30,PUMP1000,16,3492.08,55873.24
164,10,ORMN1000,4,4805.62,19222.48
164,20,EPAD1000,16,622.18,9954.86
164,30,PUMP1000,8,358.59,2868.69
164,40,DXTR1000,5,1769.92,8849.62
165,10,EPAD1000,3,11422.92,34268.76
166,10,BOTL1000,13,3415.2,44397.65
167,10,PUMP1000,3,3757.39,11272.17
167,20,BOTL1000,25,1836.08,45901.99
167,30,EPAD1000,25,284.38,7109.55
168,10,BOTL1000,11,2360.26,25962.85
168,20,DXTR1000,18,4729.27,85126.92
168,30,DXTR1000,25,2521.31,63032.67
168,40,DXTR1000,14,2403.07,33642.93
169,10,BOTL1000,6,2557.18,15343.11
169,20,ORMN1000,22,1321.45,29071.97
169,30,PRTR1000,23,655.89,15085.43
169,40,EPAD1000,16,76.66,1226.49
170,10,DXTR1000,25,169.68,4242.05
170,20,PUMP1000,19,278.01,5282.28
171,10,BOTL1000,6,1628.73,9772.39
171,20,EPAD1000,2,5073.44,10146.89
171,30,EPAD1000,9,941.28,8471.51
171,40,EPAD1000,19,370.83,7045.81
172,10,DXTR1000,19,3643.59,69228.2
172,20,ORMN1000,5,5138.12,25690.61
172,30,PUMP1000,12,462.32,5547.86
173,10,ORMN1000,21,1444.29,30329.99
174,10,PRTR1000,22,2072.26,45589.62
174,20,PRTR1000,8,20204.07,161632.59
174,30,ORMN1000,21,7969.37,167356.72
174,40,DXTR1000,19,8657.98,164501.54
175,10,ORMN1000,4,12111.47,48445.86
176,10,PUMP1000,15,2949.33,44239.95
176,20,BOTL1000,14,52279.25,731909.5
177,10,BOTL1000,13,190.94,2482.28
177,20,ORMN1000,13,498.42,6479.52
177,30,DXTR1000,19,288.12,5474.3
177,40,DXTR1000,16,573.6,9177.67
178,10,PUMP1000,25,381.51,9537.85
178,20,PRTR1000,11,1297.56,14273.2
179,10,BOTL1000,3,1950.33,5850.98
179,20,ORMN1000,7,1003.0,7021.01
179,30,DXTR1000,9,889.19,8002.69
180,10,DXTR1000,24,739.39,17745.44
180,20,BOTL1000,23,311.36,7161.17
180,30,BOTL1000,4,1005.91,4023.62
181,10,PRTR1000,14,2088.12,29233.65
181,20,DXTR1000,12,5047.82,60573.86
181,30,ORMN1000,21,2704.38,56791.96
182,10,ORMN1000,13,775.03,10075.34
182,20,BOTL1000,20,628.32,12566.46
182,30,PUMP1000,15,310.43,4656.49
183,10,PRTR1000,17,4261.69,72448.75
183,20,EPAD1000,19,2717.72,51636.6
184,10,ORMN1000,15,1297.69,19465.41
184,20,BOTL1000,21,1155.71,24269.9
185,10,PRTR1000,15,1217.69,18265.32
185,20,PRTR1000,8,1775.0,14200.03
185,30,PUMP1000,24,48.76,1170.25
185,40,ORMN1000,25,156.85,3921.21
186,10,ORMN1000,14,413.92,5794.87
186,20,PUMP1000,10,1215.0,12150.01
186,30,ORMN1000,6,2144.95,12869.7
186,40,BOTL1000,22,407.01,8954.14
187,10,DXTR1000,7,1891.43,13240.0
187,20,ORMN1000,8,463.06,3704.46
188,10,PRTR1000,7,2495.9,17471.31
188,20,PRTR1000,9,3964.62,35681.54
188,30,ORMN1000,1,15190.56,15190.56
188,40,PUMP1000,9,3622.11,32599.02
189,10,EPAD1000,24,5927.43,142258.41
189,20,DXTR1000,1,9324.8,9324.8
190,10,DXTR1000,10,9133.96,91339.61
191,10,PRTR1000,24,1244.41,29865.8
191,20,DXTR1000,8,2796.14,22369.11
191,30,PUMP1000,19,1552.51,29497.66
191,40,DXTR1000,17,777.53,13218.04
192,10,ORMN1000,25,336.94,8423.39
192,20,BOTL1000,11,139.21,1531.27
192,30,EPAD1000,24,424.05,10177.3
193,10,PRTR1000,4,5476.8,21907.18
193,20,ORMN1000,7,729.32,5105.24
194,10,DXTR1000,23,283.33,6516.51
194,20,BOTL1000,11,1251.77,13769.43
194,30,EPAD1000,14,63.74,892.41
194,40,PRTR1000,22,386.94,8512.66
195,10,ORMN1000,23,551.34,12680.91
195,20,DXTR1000,10,1351.06,13510.58
195,30,BOTL1000,21,249.25,5234.21
196,10,DXTR1000,22,1256.45,27641.97
197,10,PUMP1000,21,882.86,18540.06
197,20,PUMP1000,12,2349.36,28192.34
198,10,EPAD1000,8,6252.01,50016.09
199,10,DXTR1000,10,4.37,43.67
199,20,PRTR1000,25,213.35,5333.78
199,30,PRTR1000,10,514.92,5149.24
199,40,EPAD1000,6,849.34,5096.05
200,10,ORMN1000,2,6174.65,12349.3
200,20,EPAD1000,3,3588.81,10766.42
200,30,PUMP1000,16,356.56,5705.03
201,10,PRTR1000,4,1198.28,4793.1
201,20,ORMN1000,23,74.84,1721.29
201,30,DXTR1000,17,128.53,2185.05
201,40,EPAD1000,12,396.0,4751.97
202,10,PRTR1000,21,1159.57,24350.97
202,20,EPAD1000,21,69.97,1469.4
202,30,PRTR1000,21,133.28,2798.95
203,10,ORMN1000,21,740.2,15544.13
204,10,PUMP1000,23,741.32,17050.27
204,20,PRTR1000,25,131.27,3281.73
204,30,PUMP1000,20,369.55,7391.0
205,10,PRTR1000,9,3739.21,33652.93
205,20,BOTL1000,22,616.39,13560.61
205,30,ORMN1000,11,1846.34,20309.79
205,40,DXTR1000,7,4458.99,31212.94
206,10,PRTR1000,19,1531.63,29101.03
206,20,DXTR1000,1,31150.98,31150.98
206,30,PUMP1000,18,1659.47,29870.55
206,40,PUMP1000,20,3303.87,66077.39
207,10,ORMN1000,7,1377.87,9645.09
207,20,PRTR1000,23,450.47,10360.7
208,10,BOTL1000,14,5585.64,78198.89
209,10,DXTR1000,19,410.93,7807.73
209,20,PUMP1000,1,50117.29,50117.29
209,30,EPAD1000,17,523.51,8899.59
210,10,ORMN1000,9,6012.62,54113.56
210,20,EPAD1000,24,1346.83,32323.87
210,30,PRTR1000,13,1129.55,14684.21
210,40,PRTR1000,14,949.17,13288.39
211,10,PRTR1000,22,303.33,6673.28
211,20,PRTR1000,14,135.53,1897.41
212,10,PRTR1000,15,2285.43,34281.47
212,20,BOTL1000,12,103.73,1244.71
212,30,PUMP1000,22,1919.39,42226.69
212,40,DXTR1000,15,679.13,10186.96
213,10,PUMP1000,11,7251.32,79764.51
214,10,DXTR1000,9,1528.28,13754.54
214,20,BOTL1000,4,3571.22,14284.89
214,30,DXTR1000,2,7093.55,14187.11
214,40,PRTR1000,11,1340.08,14740.83
215,10,PUMP1000,20,2762.31,55246.21
215,20,DXTR1000,24,2526.26,60630.34
215,30,ORMN1000,1,57137.71,57137.71
215,40,BOTL1000,17,3460.83,58834.09
216,10,DXTR1000,18,1259.6,22672.85
216,20,PRTR1000,19,1556.97,29582.43
216,30,PRTR1000,9,3088.77,27798.95
216,40,EPAD1000,17,4267.98,72555.69
217,10,EPAD1000,17,743.76,12643.87
217,20,ORMN1000,5,379.99,1899.97
217,30,ORMN1000,4,1142.54,4570.15
218,10,ORMN1000,16,620.31,9925.0
219,10,ORMN1000,20,3019.79,60395.81
219,20,ORMN1000,17,1085.2,18448.32
219,30,PRTR1000,14,4084.37,57181.14
220,10,PUMP1000,18,1113.82,20048.82
220,20,EPAD1000,21,636.51,13366.66
220,30,PRTR1000,2,12924.54,25849.08
221,10,ORMN1000,16,1377.71,22043.35
221,20,PUMP1000,6,12330.52,73983.12
222,10,PUMP1000,12,361.86,4342.32
222,20,EPAD1000,18,550.11,9901.91
222,30,EPAD1000,15,615.03,9225.38
222,40,PUMP1000,4,101.47,405.86
223,10,PRTR1000,10,888.63,8886.34
223,20,PUMP1000,6,1120.82,6724.92
224,10,BOTL1000,1,42839.1,42839.1
224,20,BOTL1000,25,2017.46,50436.5
224,30,EPAD1000,6,2692.38,16154.29
225,10,PUMP1000,16,2680.91,42894.61
226,10,ORMN1000,1,25053.77,25053.77
227,10,DXTR1000,19,3942.68,74910.87
228,10,EPAD1000,22,155.97,3431.33
228,20,PUMP1000,15,120.59,1808.83
228,30,BOTL1000,9,2059.57,18536.11
229,10,PUMP1000,2,18746.11,37492.22
230,10,PRTR1000,19,130.85,2486.2
230,20,DXTR1000,7,799.67,5597.66
230,30,ORMN1000,21,267.57,5618.89
230,40,DXTR1000,11,665.99,7325.88
231,10,EPAD1000,20,1832.61,36652.28
232,10,PRTR1000,6,8349.7,50098.21
233,10,PUMP1000,10,44.78,447.78
233,20,PUMP1000,25,171.17,4279.34
233,30,DXTR1000,5,163.61,818.07
233,40,EPAD1000,10,391.36,3913.57
234,10,PUMP1000,12,303.33,3639.94
234,20,ORMN1000,4,1139.75,4559.01
234,30,PRTR1000,17,262.95,4470.15
234,40,EPAD1000,16,186.57,2985.16
235,10,BOTL1000,12,1361.38,16336.59
235,20,EPAD1000,6,3217.77,19306.6
235,30,EPAD1000,21,690.79,14506.62
235,40,DXTR1000,3,8646.41,25939.23
236,10,PRTR1000,23,6199.05,142578.16
236,20,BOTL1000,16,6193.39,99094.19
236,30,PUMP1000,21,4517.66,94870.86
237,10,DXTR1000,14,1488.53,20839.37
238,10,BOTL1000,8,268.21,2145.7
238,20,ORMN1000,14,502.14,7030.0
238,30,DXTR1000,19,257.26,4888.02
238,40,DXTR1000,18,119.21,2145.81
239,10,EPAD1000,17,3018.18,51309.04
240,10,BOTL1000,9,242.91,2186.15
240,20,BOTL1000,3,5096.88,15290.65
240,30,DXTR1000,1,13153.26,13153.26
