MANDT,KUNNR,VKORG,VTWEG,SPART,ERDAT
311,329,UW00,WH,BI,2023-07-01
311,330,UW00,WH,BI,2022-03-01
311,331,UW00,BI,BI,2022-03-23
311,332,UW00,WH,BI,2022-05-20
311,333,UW00,BI,BI,2022-02-17
311,334,UW00,WH,BI,2022-01-17
311,335,UW00,WH,BI,2022-02-02
311,336,UW00,BI,BI,2022-01-28
311,337,UW00,BI,BI,2022-01-21
311,338,UW00,BI,BI,2022-01-01
311,339,UW00,WH,BI,2022-02-24
311,340,UW00,WH,BI,2022-03-11
311,341,UW00,WH,BI,2022-01-03
311,342,UW00,WH,BI,2022-02-12
311,343,UW00,BI,BI,2022-01-06
311,344,UW00,BI,BI,2022-01-04
311,345,UW00,BI,BI,2022-01-23
311,346,UW00,WH,BI,2022-01-25
311,347,UW00,BI,BI,2022-01-18
311,348,UW00,BI,BI,2022-01-15
311,349,UW00,BI,BI,2022-01-29
311,350,UW00,BI,BI,2022-03-01
311,351,UW00,WH,BI,2022-02-02
311,352,UW00,WH,BI,2022-01-18
311,353,UW00,BI,BI,2022-01-06
311,354,UW00,WH,BI,2022-03-16
311,355,UW00,BI,BI,2022-01-09
311,356,UW00,WH,BI,2022-03-21
311,357,UW00,WH,BI,2022-01-10
311,358,UW00,BI,BI,2023-05-20
311,359,UW00,BI,BI,2022-02-10
311,360,UW00,BI,BI,2022-01-05
311,361,UW00,BI,BI,2022-01-19
311,362,UW00,WH,BI,2022-01-11
311,363,UW00,BI,BI,2022-02-20
311,364,UW00,WH,BI,2022-03-09
311,365,UW00,BI,BI,2022-03-15
311,366,UW00,WH,BI,2022-01-02
311,367,UW00,BI,BI,2022-04-17
311,368,UW00,WH,BI,2022-03-01
311,369,UW00,WH,BI,2022-01-14
311,370,UW00,BI,BI,2022-02-25
311,371,UW00,BI,BI,2022-04-20
311,372,UW00,WH,BI,2022-01-21
311,373,UW00,BI,BI,2022-01-09
311,374,UW00,BI,BI,2022-03-16
311,375,UW00,WH,BI,2022-01-27
311,376,UW00,BI,BI,2022-05-17
311,377,UW00,BI,BI,2022-02-15
311,378,UW00,BI,BI,2022-01-01
311,379,UW00,BI,BI,2022-05-03
311,380,UW00,BI,BI,2022-01-05
311,381,UW00,BI,BI,2022-01-17
311,382,UW00,WH,BI,2022-01-07
311,383,UW00,WH,BI,2022-01-01
311,384,UW00,BI,BI,2022-02-13
311,385,UW00,BI,BI,2022-03-12
311,386,UW00,WH,BI,2022-01-12
311,387,UW00,BI,BI,2022-04-04
311,388,UW00,BI,BI,2022-01-03
311,389,UW00,WH,BI,2022-03-30
311,390,UW00,BI,BI,2022-05-29
311,391,UW00,BI,BI,2022-01-10
311,392,UW00,WH,BI,2022-02-14
311,393,UW00,BI,BI,2022-02-11
311,394,UW00,BI,BI,2022-03-28
311,395,UW00,BI,BI,2022-02-05
311,396,UW00,BI,BI,2022-01-30
311,397,UW00,BI,BI,2022-05-28
311,398,UW00,WH,BI,2022-01-10
311,399,UW00,BI,BI,2022-11-01
311,400,UW00,WH,BI,2022-02-06
311,401,UW00,WH,BI,2022-04-15
311,402,UW00,BI,BI,2022-03-17
311,403,UW00,BI,BI,2022-01-10
311,404,UW00,WH,BI,2022-01-01
311,405,UW00,WH,BI,2022-08-21
311,406,UW00,BI,BI,2022-01-30
311,407,UW00,WH,BI,2022-01-03
311,408,UW00,WH,BI,2022-03-08
311,409,UW00,WH,BI,2022-01-12
311,410,UW00,WH,BI,2022-01-14
311,411,UW00,WH,BI,2022-02-17
311,412,UW00,WH,BI,2022-01-20
311,413,UW00,BI,BI,2022-02-07
311,414,UW00,WH,BI,2022-01-19
311,415,UW00,BI,BI,2022-01-06
311,416,UW00,BI,BI,2022-01-05
311,417,UW00,WH,BI,2022-01-01
311,418,UW00,BI,BI,2022-02-16
311,419,UW00,BI,BI,2022-01-05
311,420,UW00,BI,BI,2022-06-14
311,421,UW00,WH,BI,2022-01-27
311,422,UW00,WH,BI,2022-01-07
311,423,UW00,WH,BI,2022-01-30
311,424,UW00,WH,BI,2022-02-08
311,425,UW00,BI,BI,2022-01-02
311,426,UW00,WH,BI,2022-03-04
311,427,UW00,WH,BI,2022-02-02
311,428,UW00,BI,BI,2022-02-20
311,429,UW00,WH,BI,2022-02-01
311,430,UW00,WH,BI,2022-01-01
311,431,UW00,WH,BI,2022-02-08
311,432,UW00,BI,BI,2022-01-01
311,433,UW00,WH,BI,2022-03-04
311,434,UW00,BI,BI,2022-01-03
311,435,UW00,BI,BI,2022-01-08
311,436,UW00,BI,BI,2022-04-06
311,437,UW00,BI,BI,2022-01-06
311,438,UW00,BI,BI,2022-06-11
311,439,UW00,WH,BI,2022-04-16
311,440,UW00,BI,BI,2022-03-02
311,441,UW00,BI,BI,2022-05-18
311,442,UW00,BI,BI,2022-02-17
311,443,UW00,WH,BI,2022-03-14
311,444,UW00,BI,BI,2022-02-19
311,445,UW00,BI,BI,2022-01-05
311,446,UW00,WH,BI,2022-02-05
311,447,UW00,BI,BI,2022-03-05
311,448,UW00,BI,BI,2022-01-06
311,449,UW00,WH,BI,2022-01-02
311,450,UW00,BI,BI,2022-01-07
311,451,UW00,WH,BI,2022-01-11
311,452,UW00,BI,BI,2022-01-24
311,453,UW00,BI,BI,2022-01-06
311,454,UW00,BI,BI,2022-01-25
311,455,UW00,WH,BI,2022-01-02
311,456,UW00,WH,BI,2022-03-25
311,457,UW00,WH,BI,2022-03-28
311,458,UW00,WH,BI,2022-05-05
311,459,UW00,BI,BI,2022-04-03
311,460,UW00,WH,BI,2022-01-12
311,461,UW00,WH,BI,2022-05-03
311,462,UW00,WH,BI,2022-03-29
311,463,UW00,BI,BI,2023-04-27
311,464,UW00,BI,BI,2022-04-01
311,465,UW00,BI,BI,2022-01-31
311,466,UW00,BI,BI,2022-02-12
311,467,UW00,BI,BI,2022-01-18
311,468,UW00,WH,BI,2022-02-01
311,469,UW00,WH,BI,2022-01-19
311,470,UW00,BI,BI,2022-01-11
311,471,UW00,BI,BI,2022-01-16
311,472,UW00,WH,BI,2022-04-08
311,473,UW00,BI,BI,2022-01-24
311,474,UW00,BI,BI,2022-01-04
311,475,UW00,WH,BI,2022-02-12
311,476,UW00,BI,BI,2022-01-15
311,477,UW00,BI,BI,2022-02-06
311,478,UW00,BI,BI,2022-05-08
311,479,UW00,BI,BI,2022-02-03
311,480,UW00,WH,BI,2022-03-22
311,481,UW00,BI,BI,2022-01-09
311,482,UW00,WH,BI,2022-02-06
311,483,UW00,BI,BI,2022-03-13
311,484,UW00,BI,BI,2022-05-25
311,485,UW00,BI,BI,2022-07-21
311,486,UW00,WH,BI,2022-01-06
311,487,UW00,BI,BI,2022-01-01
311,488,UW00,BI,BI,2022-02-19
311,489,UW00,BI,BI,2022-01-20
311,490,UW00,WH,BI,2022-02-14
311,491,UW00,BI,BI,2022-02-18
311,492,UW00,WH,BI,2022-02-06
311,493,UW00,WH,BI,2022-02-21
311,494,UW00,BI,BI,2022-02-17
311,495,UW00,WH,BI,2022-03-12
311,496,UW00,WH,BI,2022-01-23
311,497,UW00,BI,BI,2022-01-21
311,498,UW00,WH,BI,2022-01-06
311,499,UW00,BI,BI,2022-01-27
311,500,UW00,WH,BI,2022-01-28
311,501,UW00,WH,BI,2022-02-18
311,502,UW00,BI,BI,2022-01-10
311,503,UW00,BI,BI,2022-01-01
311,504,UW00,BI,BI,2022-01-29
311,505,UW00,WH,BI,2022-05-24
311,506,UW00,BI,BI,2022-08-24
311,507,UW00,BI,BI,2022-01-11
311,508,UW00,BI,BI,2022-01-06
311,509,UW00,BI,BI,2022-01-18
311,510,UW00,BI,BI,2022-02-26
311,511,UW00,BI,BI,2022-04-27
311,512,UW00,BI,BI,2022-01-12
311,513,UW00,WH,BI,2022-02-04
311,514,UW00,BI,BI,2022-09-14
311,515,UW00,WH,BI,2022-02-03
311,516,UW00,WH,BI,2022-01-29
311,517,UW00,BI,BI,2022-02-11
311,518,UW00,WH,BI,2022-01-12
311,519,UW00,WH,BI,2022-01-12
311,520,UW00,WH,BI,2022-02-23
311,521,UW00,WH,BI,2022-01-16
311,522,UW00,WH,BI,2022-01-04
311,523,UW00,WH,BI,2022-03-27
311,524,UW00,WH,BI,2022-02-03
311,525,UW00,WH,BI,2022-01-20
311,526,UW00,WH,BI,2022-04-12
311,527,UW00,WH,BI,2022-01-30
311,528,UW00,BI,BI,2022-01-25
311,529,UW00,WH,BI,2022-02-06
311,530,UW00,WH,BI,2022-01-02
311,531,UW00,BI,BI,2022-02-01
311,532,UW00,BI,BI,2022-03-27
311,533,UW00,BI,BI,2022-01-09
311,534,UW00,WH,BI,2022-02-27
311,535,UW00,WH,BI,2022-11-06
311,536,UW00,WH,BI,2022-01-28
311,537,UW00,BI,BI,2022-04-05
311,538,UW00,WH,BI,2022-01-28
311,539,UW00,WH,BI,2022-02-24
311,540,UW00,BI,BI,2023-01-08
311,541,UW00,BI,BI,2022-01-10
311,542,UW00,BI,BI,2022-01-04
311,543,UW00,WH,BI,2022-02-09
311,544,UW00,WH,BI,2022-02-19
311,545,UW00,WH,BI,2022-02-01
311,546,UW00,WH,BI,2022-04-28
311,547,UW00,BI,BI,2022-01-11
311,548,UW00,WH,BI,2022-01-29
311,549,UW00,WH,BI,2022-02-11
311,550,UW00,BI,BI,2022-01-08
311,551,UW00,BI,BI,2022-02-04
311,552,UW00,BI,BI,2022-02-25
311,553,UW00,WH,BI,2022-03-16
311,554,UW00,BI,BI,2022-10-17
311,555,UW00,WH,BI,2022-01-19
311,556,UW00,BI,BI,2022-02-15
311,557,UW00,BI,BI,2022-01-16
311,558,UW00,WH,BI,2022-01-16
311,559,UW00,BI,BI,2022-01-16
311,560,UW00,BI,BI,2022-01-21
311,561,UW00,BI,BI,2022-01-25
311,562,UW00,WH,BI,2022-01-15
311,563,UW00,BI,BI,2022-01-05
311,564,UW00,WH,BI,2022-01-16
311,565,UW00,BI,BI,2022-06-10
311,566,UW00,BI,BI,2022-05-12
311,567,UW00,BI,BI,2022-02-04
311,568,UW00,BI,BI,2022-01-03
311,569,UW00,BI,BI,2022-01-12
311,570,UW00,BI,BI,2022-01-22
311,571,UW00,WH,BI,2022-01-02
311,572,UW00,WH,BI,2022-01-13
311,573,UW00,BI,BI,2022-01-13
311,574,UW00,BI,BI,2022-02-17
311,575,UW00,WH,BI,2022-03-29
311,576,UW00,BI,BI,2022-01-18
311,577,UW00,BI,BI,2022-01-20
311,578,UW00,BI,BI,2022-01-01
311,579,UW00,WH,BI,2022-01-18
311,580,UW00,BI,BI,2022-01-26
311,581,UW00,BI,BI,2022-03-10
311,582,UW00,WH,BI,2022-04-16
311,583,UW00,BI,BI,2022-01-08
311,584,UW00,WH,BI,2022-01-31
311,585,UW00,BI,BI,2022-01-08
311,586,UW00,BI,BI,2022-01-01
311,587,UW00,BI,BI,2022-01-04
311,588,UW00,BI,BI,2022-01-11
311,589,UW00,BI,BI,2022-03-07
311,590,UW00,WH,BI,2022-05-19
311,591,UW00,WH,BI,2022-01-07
311,592,UW00,WH,BI,2022-02-18
311,593,UW00,WH,BI,2022-02-15
311,594,UW00,BI,BI,2022-01-22
311,595,UW00,BI,BI,2022-03-10
311,596,UW00,WH,BI,2022-02-09
311,597,UW00,BI,BI,2022-01-08
311,598,UW00,BI,BI,2022-02-01
311,599,UW00,BI,BI,2022-01-05
311,600,UW00,WH,BI,2022-01-27
311,601,UW00,WH,BI,2022-01-26
311,602,UW00,BI,BI,2022-03-04
311,603,UW00,WH,BI,2022-05-21
311,604,UW00,BI,BI,2022-03-02
311,605,UW00,WH,BI,2022-02-07
311,606,UW00,BI,BI,2022-02-09
311,607,UW00,BI,BI,2022-01-21
311,608,UW00,BI,BI,2022-04-20
311,609,UW00,BI,BI,2022-02-14
311,610,UW00,BI,BI,2022-01-21
311,611,UW00,BI,BI,2022-02-14
311,612,UW00,BI,BI,2022-01-09
311,613,UW00,BI,BI,2022-02-02
311,614,UW00,BI,BI,2022-09-03
311,615,UW00,BI,BI,2022-01-05
311,616,UW00,BI,BI,2022-01-02
311,617,UW00,WH,BI,2022-01-29
311,618,UW00,WH,BI,2022-04-10
311,619,UW00,WH,BI,2022-02-14
311,620,UW00,BI,BI,2022-06-19
311,621,UW00,WH,BI,2022-10-29
311,622,UW00,WH,BI,2022-07-15
311,623,UW00,WH,BI,2022-01-11
311,624,UW00,WH,BI,2022-03-01
311,625,UW00,BI,BI,2022-06-19
311,626,UW00,BI,BI,2022-01-07
311,627,UW00,BI,BI,2022-02-14
311,628,UW00,WH,BI,2022-02-15
311,629,UW00,WH,BI,2022-02-26
311,630,UW00,BI,BI,2022-03-13
311,631,UW00,WH,BI,2022-03-14
311,632,UW00,BI,BI,2022-01-17
311,633,UW00,WH,BI,2022-01-04
311,634,UW00,BI,BI,2022-10-16
311,635,UW00,WH,BI,2022-01-18
311,636,UW00,WH,BI,2022-01-31
311,637,UW00,BI,BI,2022-01-18
311,638,UW00,WH,BI,2022-03-16
311,639,UW00,WH,BI,2022-01-04
311,640,UW00,BI,BI,2022-01-21
311,641,UW00,WH,BI,2022-02-26
311,642,UW00,BI,BI,2022-04-25
311,643,UW00,WH,BI,2022-02-26
311,644,UW00,WH,BI,2022-01-04
311,645,UW00,BI,BI,2022-03-27
311,646,UW00,BI,BI,2022-03-29
311,647,UW00,BI,BI,2022-01-13
311,648,UW00,BI,BI,2022-02-08
311,649,UW00,BI,BI,2022-02-26
311,650,UW00,WH,BI,2022-02-06
311,651,UW00,WH,BI,2022-01-26
311,652,UW00,BI,BI,2022-01-29
311,653,UW00,BI,BI,2022-01-08
311,654,UW00,WH,BI,2022-04-23
311,655,UW00,WH,BI,2022-08-31
311,656,UW00,BI,BI,2022-01-04
311,657,UW00,BI,BI,2022-02-17
311,658,UW00,WH,BI,2022-01-18
311,659,UW00,WH,BI,2022-01-26
311,660,UW00,WH,BI,2022-07-20
311,661,UW00,WH,BI,2022-01-07
311,662,UW00,BI,BI,2022-03-30
311,663,UW00,WH,BI,2022-01-09
