VBELN,KUNNR,ERDAT,NETWR,WAERS,AUART
92,937,2022-01-01,54162.08,USD,OR
93,1305,2022-01-01,181303.39,USD,OR
94,2654,2022-01-01,54688.44,USD,OR
95,3359,2022-01-01,45839.78,USD,OR
96,2753,2022-01-01,281899.0,USD,OR
97,2393,2022-01-01,54359.25,USD,OR
98,1916,2022-01-01,99868.22,USD,OR
99,1846,2022-01-01,14282.08,USD,OR
100,4925,2022-01-01,102019.21,USD,OR
101,3805,2022-01-01,227772.19,USD,OR
102,2653,2022-01-01,19080.68,USD,OR
103,2245,2022-01-01,11803.45,USD,OR
104,86,2022-01-01,19139.2,USD,OR
105,722,2022-01-01,26723.78,USD,OR
106,2728,2022-01-01,65018.29,USD,OR
107,3588,2022-01-01,80601.21,USD,OR
108,383,2022-01-01,27576.29,USD,OR
109,1559,2022-01-01,7869.96,USD,OR
110,2860,2022-01-01,71112.01,USD,OR
111,919,2022-01-01,7835.88,USD,OR
112,3786,2022-01-01,34719.66,USD,OR
113,3346,2022-01-01,224193.61,USD,OR
114,3604,2022-01-01,95751.84,USD,OR
115,1300,2022-01-01,31143.86,USD,OR
116,2108,2022-01-01,14353.76,USD,OR
117,2739,2022-01-01,366417.23,USD,OR
118,2721,2022-01-01,60499.35,USD,OR
119,4366,2022-01-01,226473.6,USD,OR
120,4690,2022-01-01,49239.44,USD,OR
121,65,2022-01-01,58462.86,USD,OR
122,173,2022-01-01,10206.36,USD,OR
123,181,2022-01-01,10951.73,USD,OR
124,715,2022-01-01,11520.31,USD,OR
125,4874,2022-01-01,656777.16,USD,OR
126,957,2022-01-01,16582.78,USD,OR
127,3107,2022-01-01,36785.28,USD,OR
128,75,2022-01-01,15073.01,USD,OR
129,1711,2022-01-02,23167.61,USD,OR
130,2744,2022-01-02,77535.46,USD,OR
131,2747,2022-01-02,63580.46,USD,OR
132,616,2022-01-02,68095.02,USD,OR
133,4119,2022-01-02,4374.29,USD,OR
134,2452,2022-01-02,18721.91,USD,OR
135,914,2022-01-02,43868.45,USD,OR
136,298,2022-01-02,17572.85,USD,OR
137,1428,2022-01-02,88510.07,USD,OR
138,4782,2022-01-02,52795.03,USD,OR
139,938,2022-01-02,39797.23,USD,OR
140,4451,2022-01-02,35493.7,USD,OR
141,4897,2022-01-02,39426.91,USD,OR
142,3344,2022-01-02,67014.41,USD,OR
143,1003,2022-01-02,60589.46,USD,OR
144,2033,2022-01-02,7321.97,USD,OR
145,530,2022-01-02,34007.6,USD,OR
146,449,2022-01-02,113882.54,USD,OR
147,4441,2022-01-02,32216.27,USD,OR
148,4651,2022-01-02,41031.15,USD,OR
149,1005,2022-01-02,39906.8,USD,OR
150,2518,2022-01-02,33360.92,USD,OR
151,4174,2022-01-02,48997.54,USD,OR
152,1302,2022-01-02,10931.18,USD,OR
153,4899,2022-01-02,61961.24,USD,OR
154,4224,2022-01-02,27139.69,USD,OR
155,2507,2022-01-02,39479.94,USD,OR
156,2583,2022-01-02,12782.04,USD,OR
157,4621,2022-01-02,66399.13,USD,OR
158,3248,2022-01-02,28685.76,USD,OR
159,2779,2022-01-02,12619.24,USD,OR
160,2220,2022-01-02,100095.47,USD,OR
161,52,2022-01-02,25991.44,USD,OR
162,3896,2022-01-02,109682.21,USD,OR
163,3289,2022-01-02,199948.29,USD,OR
164,3258,2022-01-02,40895.66,USD,OR
165,905,2022-01-02,34268.76,USD,OR
166,1244,2022-01-02,44397.65,USD,OR
167,3415,2022-01-02,64283.71,USD,OR
168,571,2022-01-02,207765.38,USD,OR
169,1241,2022-01-02,60727.0,USD,OR
170,1935,2022-01-02,9524.33,USD,OR
171,263,2022-01-02,35436.6,USD,OR
172,3390,2022-01-02,100466.67,USD,OR
173,3402,2022-01-02,30329.99,USD,OR
174,1238,2022-01-02,539080.47,USD,OR
175,964,2022-01-02,48445.86,USD,OR
176,2235,2022-01-02,776149.45,USD,OR
177,3781,2022-01-02,23613.77,USD,OR
178,2720,2022-01-02,23811.05,USD,OR
179,257,2022-01-02,20874.68,USD,OR
180,869,2022-01-02,28930.23,USD,OR
181,4907,2022-01-02,146599.48,USD,OR
182,3858,2022-01-02,27298.29,USD,OR
183,3856,2022-01-02,124085.35,USD,OR
184,4900,2022-01-02,43735.31,USD,OR
185,4210,2022-01-02,37556.8,USD,OR
186,4644,2022-01-02,39768.72,USD,OR
187,2287,2022-01-02,16944.46,USD,OR
188,1946,2022-01-02,100942.43,USD,OR
189,3308,2022-01-02,151583.21,USD,OR
190,4640,2022-01-02,91339.61,USD,OR
191,4461,2022-01-02,94950.61,USD,OR
192,4639,2022-01-02,20131.96,USD,OR
193,3447,2022-01-02,27012.42,USD,OR
194,3920,2022-01-02,29691.02,USD,OR
195,3458,2022-01-02,31425.7,USD,OR
196,4961,2022-01-02,27641.97,USD,OR
197,455,2022-01-02,46732.4,USD,OR
198,1315,2022-01-02,50016.09,USD,OR
199,1383,2022-01-02,15622.75,USD,OR
200,243,2022-01-02,28820.75,USD,OR
201,326,2022-01-02,13451.41,USD,OR
202,4467,2022-01-02,28619.32,USD,OR
203,3375,2022-01-02,15544.13,USD,OR
204,2477,2022-01-02,27723.01,USD,OR
205,1992,2022-01-02,98736.27,USD,OR
206,2210,2022-01-02,156199.94,USD,OR
207,4630,2022-01-02,20005.79,USD,OR
208,4140,2022-01-02,78198.89,USD,OR
209,425,2022-01-02,66824.61,USD,OR
210,4550,2022-01-02,114410.03,USD,OR
211,2613,2022-01-02,8570.69,USD,OR
212,2669,2022-01-02,87939.83,USD,OR
213,4377,2022-01-02,79764.51,USD,OR
214,3977,2022-01-02,56967.37,USD,OR
215,2370,2022-01-02,231848.35,USD,OR
216,3130,2022-01-02,152609.92,USD,OR
217,3583,2022-01-02,19113.99,USD,OR
218,22,2022-01-02,9925.0,USD,OR
219,2896,2022-01-02,136025.27,USD,OR
220,4381,2022-01-02,59264.55,USD,OR
221,2111,2022-01-02,96026.47,USD,OR
222,3580,2022-01-02,23875.47,USD,OR
223,1024,2022-01-02,15611.26,USD,OR
224,2833,2022-01-02,109429.89,USD,OR
225,771,2022-01-02,42894.61,USD,OR
226,4061,2022-01-02,25053.77,USD,OR
227,2107,2022-01-02,74910.87,USD,OR
228,1039,2022-01-02,23776.27,USD,OR
229,4734,2022-01-02,37492.22,USD,OR
230,4399,2022-01-02,21028.62,USD,OR
231,4990,2022-01-02,36652.28,USD,OR
232,1079,2022-01-02,50098.21,USD,OR
233,4830,2022-01-02,9458.76,USD,OR
234,4849,2022-01-02,15654.26,USD,OR
235,191,2022-01-02,76089.04,USD,OR
236,4685,2022-01-02,336543.21,USD,OR
237,3512,2022-01-02,20839.37,USD,OR
238,1520,2022-01-02,16209.52,USD,OR
239,3124,2022-01-02,51309.04,USD,OR
240,4044,2022-01-02,36492.69,USD,OR
241,3530,2022-01-02,25449.51,USD,OR
242,4072,2022-01-02,16089.68,USD,OR
243,3598,2022-01-02,16699.45,USD,OR
244,1053,2022-01-02,34807.65,USD,OR
245,2,2022-01-02,13107.32,USD,OR
246,2064,2022-01-02,48123.88,USD,OR
247,366,2022-01-02,13171.43,USD,OR
248,4030,2022-01-02,16304.33,USD,OR
249,1558,2022-01-02,62456.51,USD,OR
250,175,2022-01-02,14966.33,USD,OR
251,2155,2022-01-02,22427.76,USD,OR
252,4033,2022-01-02,185953.61,USD,OR
253,1026,2022-01-02,127016.06,USD,OR
254,4291,2022-01-02,19540.43,USD,OR
255,3156,2022-01-02,115868.67,USD,OR
256,4405,2022-01-02,27972.44,USD,OR
257,800,2022-01-02,39191.39,USD,OR
258,1957,2022-01-03,28622.52,USD,OR
259,568,2022-01-03,145722.5,USD,OR
260,694,2022-01-03,11264.68,USD,OR
261,407,2022-01-03,23742.22,USD,OR
262,2846,2022-01-03,115454.23,USD,OR
263,3914,2022-01-03,40369.5,USD,OR
264,2559,2022-01-03,51275.38,USD,OR
265,4606,2022-01-03,121862.21,USD,OR
266,2484,2022-01-03,30065.29,USD,OR
267,2213,2022-01-03,50525.24,USD,OR
268,4619,2022-01-03,15476.16,USD,OR
269,3888,2022-01-03,245604.36,USD,OR
270,1642,2022-01-03,10381.18,USD,OR
271,4146,2022-01-03,35873.79,USD,OR
272,1779,2022-01-03,50142.46,USD,OR
273,244,2022-01-03,47992.25,USD,OR
274,3151,2022-01-03,88864.3,USD,OR
275,4808,2022-01-03,68773.95,USD,OR
276,1201,2022-01-03,30464.42,USD,OR
277,869,2022-01-03,42591.15,USD,OR
278,4250,2022-01-03,269253.42,USD,OR
279,1641,2022-01-03,73400.11,USD,OR
280,4746,2022-01-03,51166.43,USD,OR
281,3542,2022-01-03,83481.19,USD,OR
282,194,2022-01-03,8358.36,USD,OR
283,1990,2022-01-03,186976.82,USD,OR
284,3229,2022-01-03,363093.28,USD,OR
285,1519,2022-01-03,106018.32,USD,OR
286,3417,2022-01-03,24474.9,USD,OR
287,4751,2022-01-03,13779.95,USD,OR
288,4057,2022-01-03,44955.16,USD,OR
289,973,2022-01-03,85914.69,USD,OR
290,3263,2022-01-03,63379.68,USD,OR
291,2729,2022-01-03,21077.01,USD,OR
292,4783,2022-01-03,33986.8,USD,OR
293,3357,2022-01-03,41050.6,USD,OR
294,2529,2022-01-03,28048.65,USD,OR
295,1045,2022-01-03,46003.47,USD,OR
296,3357,2022-01-03,31848.68,USD,OR
297,1893,2022-01-03,16393.1,USD,OR
298,1303,2022-01-03,23536.73,USD,OR
299,388,2022-01-03,31806.85,USD,OR
300,2997,2022-01-03,221865.58,USD,OR
301,1889,2022-01-03,9589.2,USD,OR
302,1888,2022-01-03,26885.19,USD,OR
303,2995,2022-01-03,78139.1,USD,OR
304,4565,2022-01-03,33092.75,USD,OR
305,4777,2022-01-03,23407.07,USD,OR
306,1884,2022-01-03,188447.28,USD,OR
307,2522,2022-01-03,6403.33,USD,OR
308,289,2022-01-03,35043.16,USD,OR
309,4183,2022-01-03,20820.11,USD,OR
310,4556,2022-01-03,94161.59,USD,OR
311,1872,2022-01-03,30121.46,USD,OR
312,4784,2022-01-03,42158.87,USD,OR
313,4375,2022-01-03,128754.65,USD,OR
314,2981,2022-01-03,249587.74,USD,OR
315,2860,2022-01-03,65920.71,USD,OR
316,1223,2022-01-03,21280.79,USD,OR
317,1093,2022-01-03,30782.97,USD,OR
318,961,2022-01-03,26073.85,USD,OR
319,1948,2022-01-03,85740.52,USD,OR
320,1805,2022-01-03,10665.0,USD,OR
321,4789,2022-01-03,51168.35,USD,OR
322,3570,2022-01-03,198920.64,USD,OR
323,3012,2022-01-03,45015.69,USD,OR
324,260,2022-01-03,191040.08,USD,OR
325,1043,2022-01-03,64755.61,USD,OR
326,1220,2022-01-03,279810.76,USD,OR
327,3285,2022-01-03,22011.17,USD,OR
328,264,2022-01-03,20583.13,USD,OR
329,1822,2022-01-03,178138.75,USD,OR
330,266,2022-01-03,66882.26,USD,OR
331,3375,2022-01-03,14883.03,USD,OR
332,3800,2022-01-03,104898.36,USD,OR
333,1918,2022-01-03,34888.33,USD,OR
334,3094,2022-01-03,33665.95,USD,OR
335,3803,2022-01-03,474717.6,USD,OR
336,2535,2022-01-03,37009.53,USD,OR
337,3370,2022-01-03,145463.49,USD,OR
338,3786,2022-01-03,32281.69,USD,OR
339,1623,2022-01-03,55573.16,USD,OR
340,4899,2022-01-03,80271.93,USD,OR
341,2908,2022-01-03,12892.38,USD,OR
342,3467,2022-01-03,22965.6,USD,OR
343,3213,2022-01-03,99531.6,USD,OR
344,4305,2022-01-03,85805.3,USD,OR
345,4298,2022-01-03,175566.88,USD,OR
346,116,2022-01-03,61727.67,USD,OR
347,2833,2022-01-03,117924.59,USD,OR
348,1437,2022-01-03,49335.19,USD,OR
349,4669,2022-01-03,44205.66,USD,OR
350,1175,2022-01-03,68252.41,USD,OR
351,1114,2022-01-03,211074.05,USD,OR
352,1746,2022-01-03,482453.98,USD,OR
353,1712,2022-01-03,127272.77,USD,OR
354,3181,2022-01-03,646493.05,USD,OR
355,1005,2022-01-03,77417.07,USD,OR
356,434,2022-01-03,33528.78,USD,OR
357,4994,2022-01-03,62556.42,USD,OR
358,2837,2022-01-03,49598.79,USD,OR
359,110,2022-01-03,153286.33,USD,OR
360,4669,2022-01-03,51681.15,USD,OR
361,2158,2022-01-03,68226.32,USD,OR
362,40,2022-01-03,38670.0,USD,OR
363,2683,2022-01-03,146482.06,USD,OR
364,2924,2022-01-03,291651.71,USD,OR
365,3218,2022-01-03,22348.97,USD,OR
366,3680,2022-01-03,269836.75,USD,OR
367,2923,2022-01-03,27029.7,USD,OR
368,2586,2022-01-03,56687.69,USD,OR
369,4118,2022-01-03,73327.65,USD,OR
370,2192,2022-01-03,60729.78,USD,OR
371,4974,2022-01-03,60141.82,USD,OR
372,1002,2022-01-03,13901.05,USD,OR
373,4115,2022-01-03,83135.63,USD,OR
374,3177,2022-01-03,72596.72,USD,OR
375,4653,2022-01-03,35078.83,USD,OR
376,1688,2022-01-03,47190.59,USD,OR
377,3983,2022-01-03,77520.45,USD,OR
378,1119,2022-01-03,40625.17,USD,OR
379,341,2022-01-03,34460.46,USD,OR
380,2905,2022-01-03,64673.13,USD,OR
381,1007,2022-01-03,44703.92,USD,OR
382,2829,2022-01-03,72068.52,USD,OR
383,238,2022-01-03,38277.64,USD,OR
384,1488,2022-01-03,168529.26,USD,OR
385,4400,2022-01-03,26573.64,USD,OR
386,3961,2022-01-03,30921.49,USD,OR
387,4639,2022-01-03,16975.85,USD,OR
388,4090,2022-01-03,78125.08,USD,OR
389,3193,2022-01-03,16997.45,USD,OR
390,4381,2022-01-04,48727.56,USD,OR
391,656,2022-01-04,116582.95,USD,OR
392,1589,2022-01-04,83159.98,USD,OR
393,4427,2022-01-04,93654.64,USD,OR
394,1683,2022-01-04,59193.53,USD,OR
395,1927,2022-01-04,132295.63,USD,OR
396,3134,2022-01-04,20719.3,USD,OR
397,2441,2022-01-04,20858.28,USD,OR
398,4556,2022-01-04,77542.82,USD,OR
399,3290,2022-01-04,157866.71,USD,OR
400,4186,2022-01-04,13290.72,USD,OR
401,2747,2022-01-04,49537.8,USD,OR
402,2594,2022-01-04,31642.99,USD,OR
403,4165,2022-01-04,101799.79,USD,OR
404,2451,2022-01-04,59795.96,USD,OR
405,1876,2022-01-04,37285.5,USD,OR
406,2547,2022-01-04,30305.22,USD,OR
407,2110,2022-01-04,10861.35,USD,OR
408,522,2022-01-04,148664.67,USD,OR
409,3286,2022-01-04,58380.56,USD,OR
410,3137,2022-01-04,105006.82,USD,OR
411,2459,2022-01-04,51258.1,USD,OR
412,4849,2022-01-04,22634.4,USD,OR
413,639,2022-01-04,57750.51,USD,OR
414,281,2022-01-04,118534.89,USD,OR
415,4092,2022-01-04,65549.39,USD,OR
416,3971,2022-01-04,63391.5,USD,OR
417,1292,2022-01-04,9674.56,USD,OR
418,3821,2022-01-04,29409.6,USD,OR
419,3488,2022-01-04,139405.25,USD,OR
420,3374,2022-01-04,151204.33,USD,OR
421,3071,2022-01-04,69077.19,USD,OR
422,2733,2022-01-04,10095.99,USD,OR
423,3326,2022-01-04,91081.41,USD,OR
424,3098,2022-01-04,61787.96,USD,OR
425,2163,2022-01-04,1934.66,USD,OR
426,1062,2022-01-04,46132.03,USD,OR
427,3955,2022-01-04,34600.6,USD,OR
428,1269,2022-01-04,420092.36,USD,OR
429,1842,2022-01-04,96129.79,USD,OR
430,633,2022-01-04,16928.3,USD,OR
431,1840,2022-01-04,25053.93,USD,OR
432,4537,2022-01-04,67382.35,USD,OR
433,644,2022-01-04,9374.65,USD,OR
434,2762,2022-01-04,11090.07,USD,OR
435,542,2022-01-04,25212.71,USD,OR
436,2252,2022-01-04,144836.35,USD,OR
437,3812,2022-01-04,44403.73,USD,OR
438,738,2022-01-04,24564.42,USD,OR
439,2127,2022-01-04,26186.55,USD,OR
440,3597,2022-01-04,46344.49,USD,OR
441,306,2022-01-04,90014.02,USD,OR
442,2856,2022-01-04,90162.53,USD,OR
443,769,2022-01-04,21626.79,USD,OR
444,2388,2022-01-04,78524.33,USD,OR
445,1688,2022-01-04,52456.68,USD,OR
446,2398,2022-01-04,41297.18,USD,OR
447,344,2022-01-04,130402.75,USD,OR
448,4211,2022-01-04,15347.5,USD,OR
449,2868,2022-01-04,194465.11,USD,OR
450,766,2022-01-04,53039.3,USD,OR
451,4701,2022-01-04,36184.88,USD,OR
452,2339,2022-01-04,35986.62,USD,OR
453,1909,2022-01-04,100363.19,USD,OR
454,3439,2022-01-04,264012.84,USD,OR
455,4158,2022-01-04,203612.0,USD,OR
456,3072,2022-01-04,52373.4,USD,OR
457,1729,2022-01-04,12742.46,USD,OR
458,3913,2022-01-04,41584.42,USD,OR
459,3263,2022-01-04,53646.8,USD,OR
460,1350,2022-01-04,30766.46,USD,OR
461,854,2022-01-04,19109.69,USD,OR
462,868,2022-01-04,63158.17,USD,OR
463,1354,2022-01-04,78740.47,USD,OR
464,3447,2022-01-04,38419.55,USD,OR
465,3258,2022-01-04,43327.17,USD,OR
466,3667,2022-01-04,30940.4,USD,OR
467,3047,2022-01-04,37896.85,USD,OR
468,2560,2022-01-04,41586.58,USD,OR
469,1523,2022-01-04,49376.07,USD,OR
470,2665,2022-01-04,144560.76,USD,OR
471,3415,2022-01-04,64797.46,USD,OR
472,4724,2022-01-04,90677.47,USD,OR
473,639,2022-01-04,46033.7,USD,OR
474,3935,2022-01-04,85399.76,USD,OR
475,995,2022-01-04,12926.76,USD,OR
476,2425,2022-01-04,46671.16,USD,OR
477,2320,2022-01-04,66697.41,USD,OR
478,3894,2022-01-04,16566.05,USD,OR
479,4322,2022-01-04,27536.42,USD,OR
480,4388,2022-01-04,29949.86,USD,OR
481,3724,2022-01-04,7205.82,USD,OR
482,1375,2022-01-04,103104.43,USD,OR
483,4076,2022-01-04,35240.14,USD,OR
484,4073,2022-01-04,20772.41,USD,OR
485,4625,2022-01-04,50056.35,USD,OR
486,1954,2022-01-04,204084.82,USD,OR
487,841,2022-01-04,26864.33,USD,OR
488,3541,2022-01-04,24108.71,USD,OR
489,665,2022-01-04,79708.68,USD,OR
490,587,2022-01-04,64097.01,USD,OR
491,3782,2022-01-04,8126.72,USD,OR
492,4253,2022-01-04,26406.99,USD,OR
493,1536,2022-01-04,109193.43,USD,OR
494,1388,2022-01-04,46611.98,USD,OR
495,474,2022-01-04,45922.29,USD,OR
496,1194,2022-01-04,47415.53,USD,OR
497,2008,2022-01-04,52030.07,USD,OR
498,4998,2022-01-04,16257.15,USD,OR
499,2090,2022-01-04,217725.91,USD,OR
500,1660,2022-01-04,187197.27,USD,OR
501,3921,2022-01-04,34892.84,USD,OR
502,59,2022-01-04,16842.11,USD,OR
503,4816,2022-01-04,499295.3,USD,OR
504,1641,2022-01-04,131580.33,USD,OR
505,813,2022-01-04,57921.12,USD,OR
506,3773,2022-01-04,20378.82,USD,OR
507,1002,2022-01-04,22879.28,USD,OR
508,3534,2022-01-04,94851.4,USD,OR
509,2576,2022-01-04,12908.1,USD,OR
510,4052,2022-01-04,13679.41,USD,OR
511,2318,2022-01-04,88454.26,USD,OR
512,1087,2022-01-04,14002.9,USD,OR
513,47,2022-01-04,13736.72,USD,OR
514,3684,2022-01-05,70894.43,USD,OR
515,4307,2022-01-05,46368.83,USD,OR
516,4394,2022-01-05,61819.71,USD,OR
517,3342,2022-01-05,23107.79,USD,OR
518,3454,2022-01-05,29882.25,USD,OR
519,644,2022-01-05,13965.95,USD,OR
520,823,2022-01-05,69598.68,USD,OR
521,599,2022-01-05,77307.24,USD,OR
522,3747,2022-01-05,99690.88,USD,OR
523,4192,2022-01-05,19984.32,USD,OR
524,197,2022-01-05,53392.23,USD,OR
525,867,2022-01-05,29426.9,USD,OR
526,4895,2022-01-05,17345.34,USD,OR
527,4903,2022-01-05,55873.67,USD,OR
528,4249,2022-01-05,121009.33,USD,OR
529,1700,2022-01-05,58058.02,USD,OR
530,1775,2022-01-05,9861.97,USD,OR
531,3602,2022-01-05,66848.85,USD,OR
532,2939,2022-01-05,87577.29,USD,OR
533,2276,2022-01-05,16077.01,USD,OR
534,522,2022-01-05,159728.7,USD,OR
535,2912,2022-01-05,10003.58,USD,OR
536,3731,2022-01-05,39609.32,USD,OR
537,2367,2022-01-05,40175.1,USD,OR
538,3489,2022-01-05,153373.88,USD,OR
539,4518,2022-01-05,53769.9,USD,OR
540,3355,2022-01-05,31532.34,USD,OR
541,837,2022-01-05,7164.48,USD,OR
542,563,2022-01-05,33062.64,USD,OR
543,4530,2022-01-05,58709.52,USD,OR
544,1533,2022-01-05,20094.28,USD,OR
545,2966,2022-01-05,141547.61,USD,OR
546,255,2022-01-05,20454.59,USD,OR
547,3632,2022-01-05,66429.51,USD,OR
548,1726,2022-01-05,41562.67,USD,OR
549,1321,2022-01-05,40315.08,USD,OR
550,264,2022-01-05,30612.87,USD,OR
551,709,2022-01-05,55308.0,USD,OR
552,3571,2022-01-05,77656.12,USD,OR
553,4216,2022-01-05,159335.39,USD,OR
554,94,2022-01-05,248100.87,USD,OR
555,708,2022-01-05,24647.22,USD,OR
556,2796,2022-01-05,5826.11,USD,OR
557,4382,2022-01-05,59697.92,USD,OR
558,1538,2022-01-05,27782.55,USD,OR
559,2498,2022-01-05,73190.66,USD,OR
560,2429,2022-01-05,13597.23,USD,OR
561,4713,2022-01-05,16407.87,USD,OR
562,3482,2022-01-05,21932.51,USD,OR
563,4451,2022-01-05,52981.09,USD,OR
564,753,2022-01-05,101798.66,USD,OR
565,139,2022-01-05,14919.42,USD,OR
566,729,2022-01-05,83765.93,USD,OR
567,2417,2022-01-05,12786.07,USD,OR
568,3749,2022-01-05,24727.3,USD,OR
569,3591,2022-01-05,117008.31,USD,OR
570,1783,2022-01-05,265038.97,USD,OR
571,2954,2022-01-05,89535.53,USD,OR
572,4202,2022-01-05,42680.28,USD,OR
573,1596,2022-01-05,41537.92,USD,OR
574,1440,2022-01-05,151327.16,USD,OR
575,4536,2022-01-05,12834.46,USD,OR
576,3713,2022-01-05,79803.56,USD,OR
577,2432,2022-01-05,381149.42,USD,OR
578,666,2022-01-05,18377.09,USD,OR
579,615,2022-01-05,29127.39,USD,OR
580,1603,2022-01-05,45490.36,USD,OR
581,1354,2022-01-05,115756.13,USD,OR
582,3410,2022-01-05,329980.86,USD,OR
583,201,2022-01-05,59835.39,USD,OR
584,1470,2022-01-05,17656.12,USD,OR
585,2366,2022-01-05,55371.37,USD,OR
586,2409,2022-01-05,114069.43,USD,OR
587,77,2022-01-05,14816.13,USD,OR
588,1097,2022-01-05,18417.0,USD,OR
589,1902,2022-01-05,42280.08,USD,OR
590,2531,2022-01-05,125793.02,USD,OR
591,4949,2022-01-05,12292.45,USD,OR
592,4939,2022-01-05,96846.44,USD,OR
593,1084,2022-01-05,30312.96,USD,OR
594,2531,2022-01-05,124638.09,USD,OR
595,4608,2022-01-05,19889.98,USD,OR
596,2183,2022-01-05,32852.66,USD,OR
597,2012,2022-01-05,38379.15,USD,OR
598,445,2022-01-05,80407.62,USD,OR
599,360,2022-01-05,23838.84,USD,OR
600,2588,2022-01-05,135761.49,USD,OR
601,4014,2022-01-05,13191.56,USD,OR
602,3023,2022-01-05,7947.57,USD,OR
603,3094,2022-01-05,39854.13,USD,OR
604,2035,2022-01-05,47867.62,USD,OR
605,3876,2022-01-05,37816.42,USD,OR
606,2611,2022-01-05,34495.9,USD,OR
607,416,2022-01-05,31779.98,USD,OR
608,4588,2022-01-05,18641.0,USD,OR
609,1108,2022-01-05,10693.41,USD,OR
610,1026,2022-01-05,116794.98,USD,OR
611,3282,2022-01-05,21903.96,USD,OR
